branded_page_name,brand_name_kr,brand_logo_id,ad_count
오드로이,오드로이,93509,41
Dermafirm kr,더마펌,36160,41
페리페라 Peripera,페리페라,239,40
히디프 hidiff,히디프,165351,40
디어랩스,디어랩스,131590,40
몽디에스,몽디에스,4355,40
pongdang_official,퐁당,166347,40
millimilli.us,밀리밀리,165116,40
Verish 베리시,베리시,4109,40
뉴트리원,뉴트리원,3861,39
아메리칸 플로어,아메리칸플로어,168626,39
인스탁스,한국후지필름,159202,39
슬룸,슬룸,106743,39
Touchinsol.official,터치인솔,150307,39
Poseganch,포즈간츠,66426,38
바이오컴,바이오컴,116348,38
glow,글로우,165180,38
닥터바이오 코스메틱,닥터바이오,142969,38
쁘띠엘린,쁘띠엘린,66279,38
엔카,엔카,3911,38
Giverny,지베르니,3998,37
보다나,보다나,4308,37
Mandisa Naturals,맨디사,166304,37
무신사,무신사,17,36
Today with,투데이위드,99388,36
그레인온,그레인온,109772,36
Origincare,오리진케어,166349,36
CosmeChef 화장품을 요리하다,코스메쉐프,32936,35
1957 태극제약 도미나스,도미나스,160434,35
엘라비아,엘라비아,131357,35
Ownist 오니스트,오니스트,3141,35
ilso 일소,일소,3358,34
믹순 mixsoon,믹순,4537,34
soda.app,소다,229,34
AMOREPACIFIC MALL - 아모레퍼시픽몰,아모레퍼시픽,125,33
리필드-Refilled,리필드,129567,33
익스트림 Extreme,익스트림,20268,33
클린디 - CleanD,클린디,165281,33
CJ웰케어,CJ웰케어,3809,32
Torhop ad,토르홉,153137,32
탈잉,탈잉,146107,32
아이레놀,아이레놀,34118,32
럭스나인 Luxnine,럭스나인,4306,32
더페이스샵 - The Face Shop,더페이스샵,110638,32
Duskrack,더스크랙,110654,31
Bamkel_,밤켈,53871,31
바이오힐보,바이오힐보,98,31
Parity_official,패리티,152952,31
바디씨,바디씨,152760,31
브레인올로지,브레인올로지,165283,31
3WAAU,쓰리와우,83386,31
AestheFic,에스테픽,166027,31
위글위글,위글위글,81033,31
펫퍼민트,펫퍼민트,50275,29
"아이디어스, idus",아이디어스,3940,29
Blaupunkt-life-kr,블라우풍트,165254,29
디스커버리 익스페디션 Discovery Expedition,디스커버리,3876,29
Pettena Korea,펫테나,166000,29
Whipped_official,휩드,62124,29
베노프,베노프,118962,29
대라,대라,165476,29
EGARDEN,에가든,154396,29
아이소이,아이소이,28296,29
프리플로우,프리플로우,157385,28
메디큐브 에이지알,메디큐브,4002,28
ANAZE,어네이즈,165259,28
씨스터앤,씨스터앤,460,28
로밍도깨비,로밍도깨비,57687,28
Goodtotes korea,굿토드즈,166256,28
DPPR I 디퍼,디퍼,164301,28
닥터뉴토,닥터뉴토,142957,28
Talk to Her-톡투허,톡투허,153586,28
마이펫닥터,마이펫닥터,50319,27
Collins,콜린스,165463,27
콘치웨어,콘치웨어,158739,27
Epais,에이페,150809,27
EOA,이오에이,157429,27
They.il,데이(THEY),105248,27
로더렛 L'odeurlette,로더렛,148297,27
FCMM,FCMM,28383,26
꿈비- ggumbi,꿈비,117385,26
어바웃펫 AboutPet,어바웃펫,37250,26
스노우투플러스,스노우투플러스,148651,26
romand 롬앤,롬앤,4302,26
CokanOfficial,코칸,165176,26
퀵슬립 - Quicksleep,퀵슬립,57,26
디브리오,디브리오,97254,26
Tiptoe.life.,팁토우,85914,26
Bodyand_mall,바디앤,164352,26
Laka,라카,85584,25
브링그린,브링그린,3361,25
deepeershop,디피어,154683,25
MLB KIDS,MLB 키즈,85178,25
Chasin' Rabbits - 체이싱래빗,체이싱래빗,4334,25
메디온 medion,메디온,166155,25
Scentlier ,센틀리에,142970,25
