brand_logo_id,brand_name_kr,brand_name_en,related_brands,insta_channel_id
456,외교부,NULL,NULL,NULL
457,필더바디,NULL,NULL,NULL
458,진주햄,NULL,NULL,NULL
460,씨스터앤,"Sister Ann",NULL,NULL
461,리얼베리어,"Real Barrier",NULL,NULL
463,노상치킨,NULL,NULL,NULL
464,미미쿠스,NULL,NULL,NULL
465,케이건샵,NULL,NULL,NULL
466,고관함박,NULL,NULL,NULL
467,러비앤비,"Lovee & B",NULL,NULL
468,발란,Balaan,NULL,NULL
469,커버넌트픽쳐스,NULL,NULL,NULL
470,기프트인포,Giftinfo,NULL,NULL
471,신한마이카,NULL,NULL,NULL
472,온리원,"Visang edu",NULL,NULL
473,임팩타민,Impactamin,NULL,NULL
474,한국콜마,Kolmar,NULL,NULL
475,한국공예디자인문화진흥원,NULL,NULL,NULL
476,제이멜라,Jmella,NULL,NULL
477,빈폴,"Bean Pole",NULL,NULL
478,하루랩,NULL,NULL,NULL
479,데브시스터즈,NULL,NULL,NULL
480,프록터앤겜블,P&G,NULL,NULL
481,더놀자캠핑카,NULL,NULL,NULL
482,김정문알로에,"Kimjungmoon Aloes",NULL,NULL
483,강원도관광재단,NULL,NULL,NULL
484,바이브온,VibeON,NULL,NULL
485,보그,"VOGE Global",NULL,NULL
486,엘리하이,NULL,NULL,NULL
487,투썸플레이스,NULL,NULL,NULL
488,세라키,Cerakey,NULL,NULL
489,리쥬란코스메틱,Rejuran,"리쥬더마, 리쥬리프",NULL
490,Vicks,NULL,NULL,NULL
491,롯데시네마,NULL,NULL,NULL
492,신신제약,NULL,"스카덤,  미야리산",NULL
493,비플제로페이,NULL,NULL,NULL
494,시지바이오,CGBIO,NULL,NULL
495,베가모어,Vegamour,NULL,NULL
496,샤넬,Chanel,샤넬뷰티,NULL
497,에이지투웨니스,AGE20'S,NULL,NULL
498,키퍼,NULL,NULL,NULL
499,강릉시,NULL,강릉시청,NULL
500,아이힐,NULL,NULL,NULL
501,메가MGC커피,NULL,메가커피,NULL
502,언젠가,NULL,NULL,NULL
503,프레쎄,NULL,NULL,NULL
504,롯데렌탈,NULL,NULL,NULL
505,푸디,NULL,NULL,NULL
506,스윙,NULL,NULL,NULL
507,올박스,Allbox,NULL,NULL
508,하이원리조트,"high1 resort",NULL,NULL
509,빨강고구마떡볶이,NULL,NULL,NULL
510,리디,RIDI,,NULL
511,레드아일랜드,NULL,NULL,NULL
512,한국거래소,NULL,NULL,NULL
514,해장면옥,NULL,NULL,NULL
515,오레노카츠,NULL,NULL,NULL
516,더블체크,Doublecheck,NULL,NULL
517,우버택시코리아,"Uber Taxi Korea",NULL,NULL
518,동문건설,NULL,NULL,NULL
519,오픈타운,NULL,NULL,NULL
520,푸름웰니스,prumwellness,살뺄라카노,NULL
521,하루헛개,NULL,NULL,NULL
522,EA코리아,"Electronic Arts Korea ","EA 스포츠, 심즈",NULL
